house_id,purchase_price,%_change_between_offer_and_purchase,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
88100,3346000,5,3.35,1.13,4.34
88040,1925000,0,3.35,1.13,4.34
88018,2350000,-2,3.35,1.13,4.34
88184,4000000,-5,3.35,1.13,4.34
87991,1265000,-2,3.35,1.13,4.34
88242,950000,-3,3.35,1.13,4.34
88214,2075000,0,3.35,1.13,4.34
88245,895000,0,3.35,1.13,4.34
88233,3295000,0,3.35,1.13,4.34
88297,2850000,-2,3.35,1.13,4.34
88344,4055000,2,3.35,1.13,4.34
88391,615000,-5,3.35,1.13,4.34
88530,1995000,0,3.35,1.13,4.34
88436,900000,-8,3.35,1.13,4.34
88372,3995000,0,3.35,1.13,4.34
88579,2802500,-3,3.35,1.13,4.34
88348,2900000,-3,3.35,1.13,4.34
88477,1175000,-9,3.35,1.13,4.34
88353,399500,0,3.35,1.13,4.34
88434,3900000,-2,3.35,1.13,4.34
88524,2995000,0,3.35,1.13,4.34
88523,4070000,0,3.35,1.13,4.34
88418,6495000,0,3.35,1.13,4.34
88571,4150000,0,3.35,1.13,4.34
88420,400000,-33,3.35,1.13,4.34
88583,3940000,0,3.35,1.13,4.34
88438,1295000,0,3.35,1.13,4.34
88355,5498000,0,3.35,1.13,4.34
88367,1600000,-11,3.35,1.13,4.34
88577,1795000,0,3.35,1.13,4.34
88721,2615000,5,3.35,1.13,4.34
88596,1145000,0,3.35,1.13,4.34
88588,1620000,2,3.35,1.13,4.34
88797,2400000,-4,3.35,1.13,4.34
88630,1000000,-9,3.35,1.13,4.34
88749,1075000,0,3.35,1.13,4.34
88617,3095000,0,3.35,1.13,4.34
88825,2650000,0,3.35,1.13,4.34
88662,3100000,-4,3.35,1.13,4.34
88661,1150000,0,3.35,1.13,4.34
88756,1040000,-13,3.35,1.13,4.34
88651,1200000,0,3.35,1.13,4.34
88728,625000,0,3.35,1.13,4.34
88799,1410000,1,3.35,1.13,4.34
88602,1340000,-4,3.35,1.13,4.34
88766,3900000,-4,3.35,1.13,4.34
88895,1220000,-13,3.35,1.13,4.34
88979,1610000,-5,3.35,1.13,4.34
88977,1175000,-9,3.35,1.13,4.34
88983,1135000,-9,3.35,1.13,4.34
88889,1375000,-1,3.35,1.13,4.34
88855,730000,-9,3.35,1.13,4.34
89022,3545000,-1,3.35,1.13,4.34
88938,730000,-8,3.35,1.13,4.34
88849,6700000,-1,3.35,1.13,4.34
89063,1150000,0,3.35,1.13,4.34
88931,3075000,-4,3.35,1.13,4.34
88906,400000,-33,3.35,1.13,4.34
88920,5800000,-3,3.35,1.13,4.34
89104,680000,0,3.35,1.13,4.34
88915,3300000,0,3.35,1.13,4.34
88891,1175000,0,3.35,1.13,4.34
88846,1700000,-5,3.35,1.13,4.34
89009,1150000,0,3.35,1.13,4.34
146049,3005000,-5,3.35,1.13,4.34
89116,4100000,3,3.35,1.13,4.34
146040,3110000,0,3.35,1.13,4.34
146079,1625000,0,3.35,1.13,4.34
146143,4750000,0,3.35,1.13,4.34
146088,1100000,-15,3.35,1.13,4.34
146071,975000,-11,3.35,1.13,4.34
89123,3350000,0,3.35,1.13,4.34
146125,1100000,-8,3.35,1.13,4.34
146174,620000,-4,3.35,1.13,4.34
146163,5500000,-8,3.35,1.13,4.34
146028,945000,-5,3.35,1.13,4.34
146023,375000,-12,3.35,1.13,4.34
89112,3275000,-1,3.35,1.13,4.34
146138,7700000,0,3.35,1.13,4.34
146397,2900000,-9,3.35,1.13,4.34
146400,1450000,-9,3.35,1.13,4.34
146385,3335000,-5,3.35,1.13,4.34
146367,4350000,-3,3.35,1.13,4.34
146371,1615000,0,3.35,1.13,4.34
146257,500000,-16,3.35,1.13,4.34
146293,1100000,0,3.35,1.13,4.34
146226,5600000,0,3.35,1.13,4.34
146285,2200000,0,3.35,1.13,4.34
146290,3200000,-8,3.35,1.13,4.34
146343,1050000,-18,3.35,1.13,4.34
146198,3400000,-3,3.35,1.13,4.34
146229,2090000,0,3.35,1.13,4.34
146253,1295000,-7,3.35,1.13,4.34
146438,5800000,0,3.35,1.13,4.34
146462,695000,-13,3.35,1.13,4.34
146442,2825000,-4,3.35,1.13,4.34
146480,1925000,-4,3.35,1.13,4.34
146434,1650000,-8,3.35,1.13,4.34
146471,2210000,-6,3.35,1.13,4.34
146481,1075000,-10,3.35,1.13,4.34
146468,3300000,-6,3.35,1.13,4.34
146472,3100000,-3,3.35,1.13,4.34
146521,4395000,0,3.35,1.13,4.34
146546,2057000,3,3.35,1.13,4.34
146535,2900000,0,3.35,1.13,4.34
146787,4600000,0,3.35,1.13,4.34
146694,2360000,0,3.35,1.13,4.34
146739,1200000,-4,3.35,1.13,4.34
146611,960000,-4,3.35,1.13,4.34
146677,1116111,40,3.35,1.13,4.34
146573,825000,-15,3.35,1.13,4.34
146746,1300000,-3,3.35,1.13,4.34
146651,1090000,-13,3.35,1.13,4.34
146716,1580000,-7,3.35,1.13,4.34
146652,1425000,0,3.35,1.13,4.34
146667,2150000,0,3.35,1.13,4.34
146668,3995000,0,3.35,1.13,4.34
146768,2400000,-4,3.35,1.13,4.34
146760,3395000,0,3.35,1.13,4.34
146644,905000,-9,3.35,1.13,4.34
146798,390000,0,3.35,1.13,4.34
146784,925000,0,3.35,1.13,4.34
146785,850000,-5,3.35,1.13,4.34
146630,800000,0,3.35,1.13,4.34
146747,1460000,0,3.35,1.13,4.34
146897,2300000,0,3.35,1.13,4.34
147090,3500000,-3,3.35,1.13,4.34
146965,4238000,-1,3.35,1.13,4.34
147024,2287500,-4,3.35,1.13,4.34
147053,4195000,0,3.35,1.13,4.34
146865,1125000,-23,3.35,1.13,4.34
146966,950000,-5,3.35,1.13,4.34
146839,1950000,-11,3.35,1.13,4.34
146906,1600000,0,3.35,1.13,4.34
146980,750000,-21,3.35,1.13,4.34
146887,1188400,0,3.35,1.13,4.34
146867,1495000,0,3.35,1.13,4.34
146937,1250000,0,3.35,1.13,4.34
146890,4470000,0,3.35,1.13,4.34
146879,5200000,-5,3.35,1.13,4.34
146866,3000000,-9,3.35,1.13,4.34
147089,7300000,-3,3.35,1.13,4.34
146976,1600000,-4,3.35,1.13,4.34
147249,880000,0,3.35,1.13,4.34
147149,3375000,-6,3.35,1.13,4.34
147201,3405000,1,3.35,1.13,4.34
147325,6500000,0,3.35,1.13,4.34
147105,1575000,-7,3.35,1.13,4.34
147159,2075000,-6,3.35,1.13,4.34
147122,755000,0,3.35,1.13,4.34
147259,550000,0,3.35,1.13,4.34
147336,1725000,-1,3.35,1.13,4.34
147316,1615000,0,3.35,1.13,4.34
147206,725000,-12,3.35,1.13,4.34
147258,5600000,-7,3.35,1.13,4.34
147298,1040000,-5,3.35,1.13,4.34
147271,3600000,0,3.35,1.13,4.34
147300,950000,0,3.35,1.13,4.34
147287,1145000,-4,3.35,1.13,4.34
147121,900000,-10,3.35,1.13,4.34
147145,3300000,0,3.35,1.13,4.34
147188,1676000,-12,3.35,1.13,4.34
147123,3225000,0,3.35,1.13,4.34
147128,610000,-5,3.35,1.13,4.34
147213,1627000,-7,3.35,1.13,4.34
147276,1360000,-3,3.35,1.13,4.34
147129,900000,0,3.35,1.13,4.34
147286,652000,10,3.35,1.13,4.34
147299,1500000,0,3.35,1.13,4.34
147247,2500000,0,3.35,1.13,4.34
147125,820000,-5,3.35,1.13,4.34
147573,2850000,-11,3.35,1.13,4.34
147486,6600000,2,3.35,1.13,4.34
147530,1825000,-9,3.35,1.13,4.34
147510,1200000,0,3.35,1.13,4.34
147416,1445000,0,3.35,1.13,4.34
147503,1050000,0,3.35,1.13,4.34
147557,925000,-7,3.35,1.13,4.34
147403,1690000,0,3.35,1.13,4.34
147431,950000,0,3.35,1.13,4.34
147508,1900000,-4,3.35,1.13,4.34
147418,915000,0,3.35,1.13,4.34
147468,10750000,-2,3.35,1.13,4.34
147363,2580000,0,3.35,1.13,4.34
147411,826000,0,3.35,1.13,4.34
147676,1520000,-5,3.35,1.13,4.34
147731,1525000,-5,3.35,1.13,4.34
147701,7795000,0,3.35,1.13,4.34
147822,800000,-16,3.35,1.13,4.34
147799,5000000,-6,3.35,1.13,4.34
147708,335000,-11,3.35,1.13,4.34
147672,3395000,0,3.35,1.13,4.34
147749,1505000,1,3.35,1.13,4.34
147751,3198000,0,3.35,1.13,4.34
147684,450000,-17,3.35,1.13,4.34
147768,1832000,0,3.35,1.13,4.34
147719,5150000,-4,3.35,1.13,4.34
147761,3350000,-1,3.35,1.13,4.34
147741,1870000,-5,3.35,1.13,4.34
147600,695000,-13,3.35,1.13,4.34
147634,1072500,-6,3.35,1.13,4.34
147686,1910000,-4,3.35,1.13,4.34
147827,2545000,0,3.35,1.13,4.34
147904,2900000,0,3.35,1.13,4.34
147867,8550000,-5,3.35,1.13,4.34
147892,695000,0,3.35,1.13,4.34
147838,3350000,-9,3.35,1.13,4.34
147893,1487500,-7,3.35,1.13,4.34
147898,380000,0,3.35,1.13,4.34
147940,1900000,-17,3.35,1.13,4.34
147956,1695000,0,3.35,1.13,4.34
147959,1960000,0,3.35,1.13,4.34
147919,1600000,-11,3.35,1.13,4.34
148110,4250000,-6,3.35,1.13,4.34
147995,795000,0,3.35,1.13,4.34
148000,2850000,0,3.35,1.13,4.34
148191,5895000,0,3.35,1.13,4.34
148028,1125000,-6,3.35,1.13,4.34
148143,1862500,-7,3.35,1.13,4.34
148092,950000,-10,3.35,1.13,4.34
148179,330000,0,3.35,1.13,4.34
148127,1845000,0,3.35,1.13,4.34
148099,1250000,0,3.35,1.13,4.34
148225,3495000,-3,3.35,1.13,4.34
147983,1537950,0,3.35,1.13,4.34
